cardano,Price,Date
,$1.46 USD,1640519106037
,$1.46 USD,1640519108037
,$1.46 USD,1640519110039
,$1.46 USD,1640519112042
,$1.46 USD,1640519120056
,$1.46 USD,1640519136084
,$1.46 USD,1640519138084
,$1.46 USD,1640519140090
,$1.46 USD,1640519150111
,$1.46 USD,1640519152114
,$1.46 USD,1640519156121
,$1.46 USD,1640519172143
,$1.46 USD,1640519174146
,$1.46 USD,1640519180157
,$1.46 USD,1640519182162
,$1.46 USD,1640519190174
,$1.46 USD,1640519204202
,$1.46 USD,1640519214219
,$1.46 USD,1640519218224
,$1.46 USD,1640519220230
,$1.46 USD,1640519222233
,$1.46 USD,1640519238261
,$1.46 USD,1640519240261
,$1.46 USD,1640519242264
,$1.46 USD,1640519250277
,$1.46 USD,1640519264300
,$1.46 USD,1640519270311
,$1.46 USD,1640519274320
,$1.46 USD,1640519276324
,$1.46 USD,1640519288351
,$1.46 USD,1640519294362
